,r2,mse,f,n_attributes,trial,method
124,0.9936833720716196,0.03529195664829328,sin,1000,40,IKD-b
205,0.5622984919292111,2.236064042916394,sin,1000,41,PCA
206,0.5640728333814815,2.226999552508843,sin,1000,41,kernel PCA
207,0.7853536612092201,1.0965531332738505,sin,1000,41,Laplacian eigenmaps
210,0.6243685078386008,1.6618554162962629,sin,1000,42,PCA
211,0.6253833430828141,1.6573656184959236,sin,1000,42,kernel PCA
212,0.7161167048523411,1.2559463236763402,sin,1000,42,Laplacian eigenmaps
129,0.4901836399797329,2.255511310675965,sin,1000,42,IKD
215,0.5653783551425478,2.5907788380585095,sin,1000,43,PCA
216,0.5772937525135773,2.5197511759041173,sin,1000,43,kernel PCA
217,0.921568319578026,0.46753110498503503,sin,1000,43,Laplacian eigenmaps
133,0.9920877726167241,0.047164773105631795,sin,1000,43,IKD-b
220,0.4637754081626453,2.9034531504334753,sin,1000,44,PCA
221,0.4604908750866209,2.9212376535175464,sin,1000,44,kernel PCA
222,0.6651521716440534,1.8130742173249088,sin,1000,44,Laplacian eigenmaps
225,0.5734544223245736,2.298256095064477,sin,1000,45,PCA
226,0.570586914659108,2.3137064181125213,sin,1000,45,kernel PCA
227,0.8764484277246145,0.6657041331530904,sin,1000,45,Laplacian eigenmaps
138,0.07455159196664662,4.986377906017861,sin,1000,45,IKD
139,0.9933972895545667,0.03557584539467395,sin,1000,45,IKD-b
230,0.4699899867055487,2.8226599468167364,sin,1000,46,PCA
231,0.4749529507509157,2.7962288238625246,sin,1000,46,kernel PCA
232,0.6643372090464956,1.7876302181008148,sin,1000,46,Laplacian eigenmaps
235,0.5274917975656177,2.5499167101987514,sin,1000,47,PCA
236,0.5294429653124173,2.5393871252807916,sin,1000,47,kernel PCA
237,0.8212868036476004,0.9644356719401037,sin,1000,47,Laplacian eigenmaps
144,0.42416826224244286,3.107507896806697,sin,1000,47,IKD
240,0.4952054800866973,2.729939084029693,sin,1000,48,PCA
241,0.4947404187573291,2.732454145206924,sin,1000,48,kernel PCA
242,0.7742928873592851,1.2206286796600028,sin,1000,48,Laplacian eigenmaps
148,0.9941143742825159,0.03182958420960982,sin,1000,48,IKD-b
245,0.5209790300304071,2.741622588544268,sin,1000,49,PCA
246,0.5186121390742461,2.755169222443081,sin,1000,49,kernel PCA
247,0.8483492091577255,0.8679562269897578,sin,1000,49,Laplacian eigenmaps
